"genomics2","sex","na.rm","n","bill.length_mean","bill.length_sd","bill.length_min","bill.length_max","bill.height_mean","bill.height_sd","bill.height_min","bill.height_max","bill.width_mean","bill.width_sd","bill.width_min","bill.width_max","wing.length_mean","wing.length_sd","wing.length_min","wing.length_max","tail.length_mean","tail.length_sd","tail.length_min","tail.length_max"
"amc","F",TRUE,36,15.9434375,0.804401638466595,13.86,17.98,4.325,0.338378486313773,3.38,5.04,6.5209375,0.708575851905232,5.58,8.95,56.18,2.34395232460048,49.92,60.75,45.2635483870968,3.06284132616225,36.25,50
"amc","M",TRUE,62,15.7810714285714,0.749624581365241,14.19,17.6,4.27423076923077,0.315944560499466,3.5,5.14,6.34842105263158,0.543233669380748,5.53,7.99,56.4717543859649,2.84445018714829,48.68,63,45.5954385964912,3.29698513264957,38.29,51.75
"cho","F",TRUE,8,15.0275,1.03637762009249,13.14,16.12,4.09333333333333,0.115354525991253,3.93,4.28,6.28375,0.660582805450719,5.46,7.56,55.4871428571429,2.14524057924913,52.06,57.76,44.11,2.38026609156764,40.14,46.46
"cho","M",TRUE,2,15.87,0.325269119345812,15.64,16.1,4.29,0.466690475583121,3.96,4.62,6.945,0.530330085889911,6.57,7.32,58.37,1.68291413922398,57.18,59.56,48.45,1.45663996924428,47.42,49.48
"ferrone","F",TRUE,42,15.9891891891892,0.766244008054797,14.29,17.67,4.159,0.202677763610291,3.8,4.64,6.29676470588235,0.813178278519521,5.36,9.11,55.7759459459459,4.041174512619,41.5,64.07,46.2297222222222,2.82894274659139,40.64,50.42
"ferrone","M",TRUE,82,15.7128571428571,0.67497294705986,14.05,17.35,4.20127272727273,0.227042617515633,3.75,4.71,6.25555555555556,0.514197708234996,5.05,8.45,55.9947619047619,2.63591561930076,49.78,63.13,45.4769841269841,2.95847314310163,38.5,53.83
"ferrthr","F",TRUE,3,15.87,0.703775532396516,15.31,16.66,4.02333333333333,0.179536440126603,3.82,4.16,5.89333333333333,0.309892454463372,5.69,6.25,54.3,4.44220665885773,49.68,58.54,47.26,3.6421422267671,43.2,50.24
"ferrthr","M",TRUE,3,15.5466666666667,0.14571661996263,15.43,15.71,4.25,0.443959457608462,3.95,4.76,6.93,1.4856311789943,5.83,8.62,58.42,2.98959863526862,54.98,60.39,46.55,3.54602594463154,42.49,49.04
"ferrtwo","F",TRUE,44,15.4975675675676,0.667372149243273,14.28,16.69,4.13617647058824,0.278252280405394,3.62,4.88,6.28081081081081,0.596579967529633,5.08,7.87,55.7043243243243,2.5354832330791,46.43,61.23,45.6441666666667,2.74315290444096,37.86,51.26
"ferrtwo","M",TRUE,80,15.9122222222222,0.651665736103943,14.28,17.48,4.1727868852459,0.26506056633369,3.64,4.84,6.46694444444444,0.891409137484711,4.37,8.92,56.9186956521739,2.7308466221407,46.7,66.21,45.7085714285714,3.07992437593696,39.06,58
"lutei","F",TRUE,26,15.61625,0.793269582446461,13.65,16.94,3.96695652173913,0.18667995905995,3.54,4.34,6.04125,0.646053655733761,3.9,7.02,55.1025,2.66309275908262,48.87,60.98,46.0929166666667,2.61803690007321,41.34,53.31
"lutei","M",TRUE,39,15.2464705882353,0.663817619864122,14,16.7,4.09764705882353,0.284509773209451,3.49,4.72,6.14470588235294,0.522112464920112,4.92,7.06,55.8884848484849,2.41049932743732,48.16,59.97,44.8475,2.66604334112823,39.75,50.49
"lutes","F",TRUE,10,15.7333333333333,0.4015905875391,14.96,16.17,4.12714285714286,0.189447819175825,3.82,4.44,6.61222222222222,0.474572907406696,5.95,7.59,54.6722222222222,2.5777935224615,51.3,58.64,45.8833333333333,1.96286779992948,42.5,49.33
"lutes","M",TRUE,32,15.6610344827586,0.6959594858261,13.92,16.89,4.17703703703704,0.294080245652765,3.26,4.92,6.71896551724138,0.72844425626314,5.19,8.54,55.4458620689655,1.89721509670167,51.37,59.25,45.4796296296296,2.12890452414721,41.74,50.25
"rub1","F",TRUE,9,15.6114285714286,0.493404113326611,15.16,16.43,3.93428571428571,0.200237953683207,3.59,4.26,7.20285714285714,0.961278910024111,5.98,8.71,54.4071428571429,2.66578140067607,52.68,60.25,43.5628571428571,3.16794736007252,39.9,50.12
"rub1","M",TRUE,23,15.516,0.588426984246537,14.52,17.46,4.131875,0.216524632932761,3.79,4.59,6.775,0.642482848429681,6.06,9.02,55.2045,2.2393266727676,50.7,61.3,44.371,2.52027128865546,40.39,49.88
"rub2","F",TRUE,12,15.79,0.63663176169588,14.43,16.82,4.23666666666667,0.149833240637717,3.96,4.45,6.76,0.662299026120377,5.79,8.12,56.0645454545455,2.24298623997725,50.95,60.19,44.93,1.26328935719415,43.23,46.98
"rub2","M",TRUE,34,15.5670967741935,0.430567017999808,14.74,16.71,4.17962962962963,0.271724995049173,3.71,4.92,6.72064516129032,0.52927582905873,5.63,7.75,56.39,3.02176769457879,49.05,66.34,46.2064516129032,1.9444631622243,42.63,49.47
